id,firstName,lastName,house,street,city,state,zip,prod,tag
2080,Harold,Fowler,61,Sisjeh Park,Wufvawot,NC,59689,Desktop,WHITE
2081,Norman,Miller,26,Genejo Turnpike,Coatlor,ME,49417,Laptop,BLUE
2082,Eva,Burton,24,Tate Trail,Ekiroznim,VA,82267,Laptop,WHITE
2083,Donald,Townsend,51,Imha Junction,Untuhizi,MS,88296,Laptop,YELLOW
2084,Mina,Rowe,18,Pokva Street,Udocuvvew,LA,12295,Phone,GREEN
2085,Francis,Campbell,63,Basnaj Street,Ejusojo,MD,92564,Desktop,RED
2086,Brett,Strickland,23,Diifu Circle,Hodsihpu,NY,33209,Laptop,GREEN
2087,Troy,Martinez,30,Towon Extension,Tagidah,MA,35441,Desktop,BLUE
2088,Ronald,Carpenter,44,Ugide River,Vasijuvo,DC,38476,Misc,GREEN
2089,Troy,Greene,46,Dozpi Loop,Aputira,OR,94620,Desktop,YELLOW
2090,Alma,Reyes,52,Eroto Ridge,Fetubev,WI,09565,Laptop,BLUE
2091,Anthony,Cain,64,Cukhov Center,Guraeru,MD,43978,Phone,WHITE
2092,Ann,Hawkins,29,Kutaj Turnpike,Iwovadkum,NY,42681,Phone,GREEN
2093,Ryan,Gill,22,Canke Circle,Rihkimav,DC,29039,Laptop,GREEN
2094,Lillian,Norris,19,Fehuc Ridge,Ronodtoh,IA,11705,Laptop,BLUE
2095,Stephen,Larson,25,Baruh Center,Pitejmic,UT,72017,Tablet,YELLOW
2096,Brett,Hogan,32,Ipasa Loop,Oduvuam,CO,47411,Desktop,RED
2097,Jim,Allison,20,Makez Parkway,Usepimi,IA,50145,Misc,YELLOW
2098,Rodney,Newman,44,Fusa Point,Peucri,MN,81390,Misc,WHITE
2099,Rosie,Rios,61,Abuom Junction,Umulnet,FL,23961,Desktop,BLUE
2100,Lillie,Morris,21,Kowbi Heights,Omozij,AR,84056,Desktop,RED
2101,Johnny,Thomas,44,Lihla Parkway,Kuwuwdo,RI,20031,Misc,YELLOW
2102,Jordan,Ortega,31,Sanab Court,Fahiltur,AR,26516,Tablet,GREEN
2103,Dorothy,Chavez,46,Piak Trail,Koodepe,MT,75008,Misc,BLUE
2104,Jerome,Perry,28,Gukud View,Uwotaga,TN,14787,Laptop,WHITE
2105,Blake,Carter,20,Ecitu Park,Fauswid,VA,89612,Misc,WHITE
2106,Lula,Peterson,56,Detza Court,Kunirir,IA,54868,Desktop,WHITE
2107,Addie,Hudson,64,Buug Key,Kamurpo,AK,89225,Phone,GREEN
2108,Dora,Salazar,34,Tamic Mill,Hejekto,NV,05334,Laptop,GREEN
2109,Nicholas,Castillo,35,Nafkop Path,Epihultus,MS,61896,Misc,RED
2110,Mason,Perry,62,Rekvaj Loop,Celaldil,NY,61836,Tablet,RED
2111,Harriet,Bradley,27,Toge Junction,Goebevu,AK,22669,Laptop,WHITE
2112,Cody,Love,40,Gunra Square,Biwofulu,ME,23258,Laptop,YELLOW
2113,Lester,Burton,57,Uveafa Highway,Gafgauc,SD,35658,Desktop,BLUE
2114,Adrian,Obrien,36,Zofo Circle,Tolikcef,HI,34115,Tablet,BLUE
2115,Alta,Miller,35,Icofe View,Gojfowwag,VA,30394,Desktop,GREEN
2116,Sarah,Marshall,56,Dutge River,Niwatoj,ID,12579,Desktop,GREEN
2117,Myrtie,Rowe,65,Lias Ridge,Cilcaher,WY,40029,Desktop,GREEN
2118,Arthur,Gill,31,Horo Lane,Dufjigrup,KS,39490,Misc,YELLOW
2119,Warren,Caldwell,35,Ujtog Extension,Sopifupa,DE,66177,Laptop,RED
2120,William,Norton,55,Dopun Way,Uczurpe,ND,68751,Phone,RED
2121,Jessie,Allison,31,Pobdov Center,Lerpuci,NJ,80318,Misc,WHITE
2122,Hulda,Arnold,63,Cicam Center,Utgahad,NE,87746,Misc,BLUE
2123,Katharine,Vega,50,Kufte Turnpike,Igafaimo,OK,13491,Tablet,GREEN
2124,Lina,Ross,46,Vekab Square,Voziuw,NC,27214,Desktop,WHITE
2125,Dora,Hoffman,58,Doje Terrace,Mimelul,DE,30598,Laptop,BLUE
2126,Isabel,Hayes,61,Golof Court,Kiwsegmu,NY,66005,Laptop,YELLOW
2127,Leah,Chapman,27,Tadof Glen,Itgetoz,MT,64319,Misc,YELLOW
2128,Helen,Lamb,41,Nilhib Junction,Kavetcif,VT,56074,Misc,WHITE
2129,Chad,Hale,33,Oniugu Pass,Mohicte,DC,63092,Phone,RED
2130,Christine,Lee,44,Tagni Court,Wejevuw,MD,15380,Laptop,BLUE
2131,Jared,Howell,38,Wogaj Turnpike,Jipemo,TN,28961,Misc,RED
2132,Sarah,Arnold,22,Hajane Ridge,Lameffew,IN,33549,Phone,YELLOW
2133,Eleanor,Pratt,42,Fazo Grove,Micajdar,OH,04781,Laptop,WHITE
2134,Johnny,Hale,19,Nebid Ridge,Vatugod,DE,37845,Laptop,WHITE
2135,Edna,Quinn,52,Ocbif Junction,Rupuvo,TN,36064,Phone,BLUE
2136,Matthew,Morgan,64,Bibow Pike,Tenepbo,DE,19920,Misc,YELLOW
2137,Mario,Patterson,40,Gefap Terrace,Sabunog,CT,43699,Tablet,RED
2138,Julia,Davidson,21,Hojdo Junction,Haberpu,ID,80925,Desktop,WHITE
2139,Marion,Cobb,39,Kuafe Grove,Faunuse,MD,29519,Tablet,BLUE
2140,Mayme,Wong,52,Ginuv Parkway,Kenohin,WV,47003,Misc,BLUE
2141,Etta,Porter,26,Fuwli Center,Bafideri,IL,64962,Desktop,WHITE
2142,Fred,Stanley,56,Fofis Way,Fupvihku,ND,79686,Desktop,BLUE
2143,Travis,Duncan,19,Akjuf Junction,Lezuzed,SC,24288,Phone,WHITE
2144,Alex,Tyler,35,Baah Glen,Wulofok,NY,27021,Laptop,RED
2145,Hulda,Williams,55,Rocpas Junction,Vinfago,ND,91235,Desktop,WHITE
2146,Bernice,Bush,21,Mubaj Path,Nottauco,SC,40340,Tablet,BLUE
2147,Sue,Morales,29,Sewud Key,Gopocdo,IN,03025,Phone,RED
2148,Etta,Alvarez,64,Fakos Lane,Vurapafi,VA,13226,Laptop,YELLOW
2149,Olive,Meyer,46,Akda Path,Kewilid,IN,97005,Misc,GREEN
2150,Luis,Patrick,31,Madwi Boulevard,Omamhed,NH,56921,Phone,YELLOW
2151,Matthew,Alexander,51,Jarez Plaza,Kijvajori,AK,52771,Tablet,GREEN
2152,Norman,McDonald,22,Mafow Loop,Juwnius,PA,28476,Desktop,YELLOW
2153,Francisco,Flores,30,Caljaz Highway,Fectowag,MN,13168,Desktop,YELLOW
2154,Estelle,McCoy,59,Irouwa Point,Sugigif,MO,43455,Desktop,BLUE
2155,Lura,Todd,28,Bijwak Heights,Dazraiha,SC,35133,Phone,BLUE
2156,Jessie,Lopez,32,Sidac Loop,Civbuwu,WI,77020,Desktop,BLUE
2157,Lillian,Carpenter,40,Bespo Center,Midivepa,OK,31639,Laptop,YELLOW
2158,Georgia,Klein,32,Cegaka Junction,Hairewuc,NE,91251,Misc,BLUE
2159,Adelaide,Newton,40,Olalur Pass,Badkihlo,IN,33841,Tablet,GREEN
2160,Alice,Lloyd,58,Ikku Court,Ezwaojo,FL,94182,Desktop,GREEN
2161,Lucile,Hicks,58,Putve Pass,Roepok,CA,01748,Misc,GREEN
2162,Devin,Higgins,21,Moote Key,Waulovo,MO,52640,Phone,WHITE
2163,Frederick,Lee,23,Elfed Court,Lirdahus,AK,68054,Tablet,BLUE
2164,Robert,Arnold,56,Nezo Terrace,Ditijri,SD,47383,Misc,YELLOW
2165,Julian,Clark,19,Negufo Drive,Zaralhu,NH,22776,Phone,WHITE
2166,Cora,Jackson,55,Regse Lane,Utovela,OH,60837,Tablet,BLUE
2167,Louis,Hall,63,Niwam Point,Gazecaep,DC,35785,Laptop,YELLOW
2168,May,Foster,45,Wilcok Street,Foemaaz,CO,12788,Desktop,YELLOW
2169,Vincent,Hammond,44,Ezade Glen,Luzisow,IL,26959,Tablet,RED
2170,Ernest,Greer,24,Voru Square,Nehetvic,TX,77852,Desktop,GREEN
2171,Harold,Lewis,61,Bufri Pass,Dipdodad,MO,74414,Desktop,YELLOW
2172,Lora,Mendez,19,Odoam Court,Mazitwun,WI,38158,Misc,BLUE
2173,Hettie,McCoy,18,Omuro Turnpike,Natouwo,AK,76739,Tablet,BLUE
2174,Elsie,Gray,25,Usfem Junction,Beckuleh,AZ,54375,Laptop,RED
2175,Lula,Torres,37,Becfa Manor,Caezpek,NV,55385,Phone,RED
2176,Jessie,Bridges,44,Manlab Center,Pasotojo,MT,39687,Phone,WHITE
2177,Bernice,Fleming,57,Reda Extension,Hagawazo,AR,63383,Laptop,YELLOW
2178,Alexander,Grant,57,Vecboc Boulevard,Codatra,CA,51886,Laptop,BLUE
2179,Mathilda,Roberson,43,Gojko Way,Baapacis,SC,76309,Desktop,BLUE
2180,Birdie,Collins,45,Luol Junction,Omuuhzuw,NC,10681,Tablet,GREEN
2181,Max,Cruz,33,Zubmiz Plaza,Gulataz,MN,15402,Phone,RED
2182,Juan,Barnett,33,Noro Pike,Cavzorol,MT,21363,Misc,RED
2183,Clara,Rhodes,65,Jihwe Key,Fumujlu,MN,87688,Tablet,WHITE
2184,Allie,Rivera,50,Wadtim Drive,Eggedun,WI,74235,Phone,RED
2185,Eula,Duncan,57,Dehih Drive,Tecuhi,SD,68540,Laptop,WHITE
2186,Edith,Greer,50,Caju Glen,Degdakifo,UT,24527,Laptop,BLUE
2187,Ian,Sherman,48,Nevli Center,Iweeggen,TN,35521,Phone,YELLOW
2188,Luella,Jefferson,42,Ajog Pike,Dotatenu,KY,75657,Tablet,GREEN
2189,Theresa,McGee,61,Dehuc Terrace,Savcefgil,WI,44801,Misc,WHITE
2190,Agnes,Phelps,30,Fiok Way,Dodjufag,ND,02659,Phone,YELLOW
2191,Lucas,Moore,38,Adbu Drive,Gusviwso,IA,89122,Misc,GREEN
2192,Ricky,Moss,61,Nami Key,Binpeje,MS,22129,Misc,YELLOW
2193,Susan,Anderson,21,Fales Turnpike,Akafihizu,MN,49913,Misc,WHITE
2194,Nina,Russell,57,Remvid River,Evpadu,CT,41644,Misc,WHITE
2195,Eddie,Rice,58,Pirweb Road,Pafdaako,KY,14076,Desktop,GREEN
2196,Celia,Hawkins,42,Hiwte Terrace,Ehevala,TX,16235,Tablet,WHITE
2197,Douglas,Roberson,65,Vuor River,Iweeluov,AL,09357,Desktop,RED
2198,Lillie,Wood,46,Facpe Extension,Golehvok,NH,17948,Laptop,WHITE
2199,Minnie,Shelton,46,Lonbaz Trail,Kimehseg,MD,67063,Phone,RED
2200,Eula,Thomas,19,Juwi Place,Jugzeska,RI,33952,Tablet,WHITE
2201,Minnie,Boyd,19,Kepna Park,Vojofiju,CT,28003,Tablet,YELLOW
2202,Ollie,Holloway,49,Wici Plaza,Iwcitmi,AL,84520,Misc,GREEN
2203,Johnny,Stevenson,56,Kibaf Manor,Jogoro,TX,31315,Misc,BLUE
2204,Estelle,Shelton,31,Maejo Junction,Fokrokkak,CO,38064,Misc,BLUE
2205,Elmer,Grant,29,Cacar Glen,Puwciwac,MN,70536,Tablet,RED
2206,Elijah,Stewart,46,Nesej Point,Nacofokos,TN,57815,Tablet,RED
2207,Olive,Gardner,60,Gaflur Highway,Wevpabomi,WA,57309,Phone,BLUE
2208,Antonio,Blake,32,Jiflu Street,Feilamaw,AR,43632,Tablet,YELLOW
2209,Victoria,Reid,19,Rabi River,Bonioh,DC,12424,Misc,RED
2210,Jerry,Reid,53,Ripese Pass,Siruter,VT,52270,Laptop,BLUE
2211,Marcus,Fernandez,30,Atfuh View,Sizupadot,UT,19329,Misc,BLUE
2212,Marcus,Lyons,63,Selzeh Junction,Hozmarfo,HI,47751,Laptop,GREEN
2213,Herman,Kim,57,Wikowe Grove,Vobjecob,NM,85577,Misc,YELLOW
2214,Mario,Palmer,18,Usji Heights,Obtansu,CT,78835,Laptop,RED
2215,Luella,Pierce,58,Abfa Heights,Cuafirak,AL,37290,Laptop,RED
2216,Virgie,Welch,52,Jozdap Terrace,Sadokhev,MD,57690,Phone,BLUE
2217,Randy,Padilla,33,Bajov Extension,Hitpamig,AL,64206,Misc,GREEN
2218,Essie,Kelly,25,Guoci Boulevard,Rikikgo,UT,30415,Laptop,RED
2219,Gene,Reese,35,Bepuw Parkway,Ivosonu,RI,79324,Laptop,BLUE
2220,Rosalie,Patrick,28,Cikfa Parkway,Sobteco,CA,17441,Phone,GREEN
2221,Adrian,Jimenez,19,Inueg Way,Hicappo,FL,27571,Misc,RED
2222,Gregory,Bryant,25,Deru Heights,Nedaslav,MN,35925,Desktop,WHITE
2223,Vernon,Hale,36,Jeko Highway,Omicufgow,CT,13679,Laptop,WHITE
2224,Alma,Stephens,20,Fiduf Trail,Busnunha,VA,90482,Misc,RED
2225,Floyd,Wright,63,Hedke Avenue,Nepabu,ME,51444,Laptop,YELLOW
2226,Kenneth,Davidson,38,Vigwuz Circle,Ehesige,TX,84344,Laptop,YELLOW
2227,Gordon,Long,50,Ecka Loop,Fukjolo,TX,07349,Phone,YELLOW
2228,Ricardo,Cox,40,Muco Court,Dipvuos,MD,14149,Phone,RED
2229,Phillip,Palmer,61,Beohi Lane,Hadmisibi,TX,59290,Desktop,GREEN
2230,Theresa,Wheeler,24,Geap Place,Vimfecnaz,OR,48961,Tablet,RED
2231,Roger,Ryan,65,Nafar Drive,Fumhewodu,WI,37624,Laptop,BLUE
2232,Thomas,Ramirez,62,Komojo Parkway,Ufokeful,AR,06701,Desktop,YELLOW
2233,Mary,Paul,34,Zoktif Circle,Izozfil,CA,67183,Misc,RED
2234,Jon,Reynolds,26,Jawo Circle,Kifjida,CO,61867,Laptop,YELLOW
2235,Edgar,Cain,48,Zehlik Pike,Risjummof,AL,82751,Misc,RED
2236,Josephine,Davidson,24,Siwgec View,Gopubhik,SC,97988,Laptop,YELLOW
2237,Rosie,Waters,25,Gieji Ridge,Tochaknat,NY,40463,Phone,GREEN
2238,Lottie,Rogers,52,Ucgi Loop,Lozeus,MD,21339,Desktop,WHITE
2239,Herman,Stewart,56,Palbi River,Horitzuw,UT,84763,Desktop,WHITE
2240,Leroy,Rogers,29,Ijci Plaza,Mudupuvu,NV,23880,Misc,BLUE
2241,Lewis,Walton,21,Bupfi Drive,Zugose,MO,96956,Laptop,GREEN
2242,David,Sanders,64,Mifo Ridge,Cisisa,NH,56563,Laptop,RED
2243,Hallie,Powell,54,Lubub Lane,Kuhuma,NJ,70211,Phone,YELLOW
2244,Christian,Nichols,35,Perin Parkway,Vomefih,DE,04164,Phone,RED
2245,Isabella,Hernandez,49,Hifusu Path,Ugeabhu,WI,16944,Laptop,BLUE
2246,Sophie,Blake,53,Puda Place,Bewrocefu,VT,44010,Phone,RED
2247,Lela,Tucker,29,Zahti Key,Wutoka,MI,60596,Desktop,YELLOW
2248,Lucile,Edwards,65,Ivhe Junction,Larroboc,MT,77303,Misc,BLUE
2249,Hallie,McGee,45,Derup Way,Uwatovug,OR,38021,Phone,BLUE
2250,Bernard,Ramsey,43,Piksa Mill,Noovoguv,WV,86934,Phone,WHITE
2251,Sylvia,Powers,24,Acvez Pike,Rifkugmus,IL,53965,Laptop,RED
2252,Wayne,Bowen,51,Love Mill,Ecuhecmog,MS,40446,Desktop,RED
2253,Leroy,Perkins,18,Tokega Highway,Fucetafa,UT,57343,Desktop,WHITE
2254,Rhoda,Underwood,43,Madho Trail,Kofdogho,MD,43523,Laptop,BLUE
2255,Kyle,Burns,44,Sejjos Court,Kejepo,CO,24551,Misc,BLUE
2256,Sylvia,Nunez,31,Micet Manor,Tiuwun,IN,45444,Tablet,WHITE
2257,Lula,Lopez,41,Uflo Way,Oniikvif,PA,58093,Misc,WHITE
2258,Landon,Smith,32,Depki Manor,Mirauh,MN,43594,Laptop,WHITE
2259,Randy,Gonzales,45,Awiemi Circle,Figfiwac,IN,77765,Phone,YELLOW
2260,Barry,Johnson,47,Buzu Place,Culigez,WA,81743,Desktop,GREEN
2261,Mabel,Maldonado,23,Nehfek Boulevard,Owgiwoj,CT,80198,Phone,GREEN
2262,Allie,Burns,59,Dowih Park,Kalwetaw,FL,71442,Phone,WHITE
2263,Hallie,Walker,22,Amiju Loop,Hetoipe,HI,98415,Desktop,GREEN
2264,Isaiah,Hardy,43,Piwtu Grove,Dopubnu,WI,46377,Laptop,RED
2265,Agnes,Rhodes,24,Ecubop Trail,Mislopgej,KY,86138,Misc,RED
2266,Ollie,Hamilton,46,Wope Mill,Zobegzaj,AL,39636,Tablet,BLUE
2267,Jane,Ramos,28,Juhdi Trail,Fibsivceg,CA,58029,Desktop,BLUE
2268,Lillie,Woods,22,Iberar Road,Lusjive,NV,48488,Tablet,BLUE
2269,Virgie,Burton,35,Wujga Key,Devpiobo,WV,33277,Phone,BLUE
2270,Chase,Poole,31,Apwi Circle,Afamwu,WV,15269,Tablet,GREEN
2271,Myra,Bell,36,Okudit Place,Nofomal,RI,99781,Tablet,YELLOW
2272,Georgie,Black,58,Kocu Place,Elvijzij,NC,08549,Laptop,BLUE
2273,Nelle,Poole,40,Rigces Junction,Koharlog,KS,82693,Tablet,YELLOW
2274,Travis,Harvey,55,Girzuk Glen,Ebcaomu,UT,88763,Tablet,GREEN
2275,Lee,Ingram,55,Pekal Turnpike,Muirola,FL,70664,Tablet,WHITE
2276,Ollie,Cruz,34,Dezin Boulevard,Rigitig,WV,60313,Tablet,YELLOW
2277,Evan,Anderson,56,Gelzuv Parkway,Bikcowtic,NY,30032,Misc,BLUE
2278,Lucille,Huff,59,Wipaca Point,Ivemilbi,UT,51998,Laptop,BLUE
2279,Carolyn,Mathis,52,Acba Parkway,Gotucvor,ND,49445,Desktop,GREEN
2280,Cory,Gray,55,Wocto Extension,Poonumuw,NY,66748,Misc,RED
2281,Jon,Moss,58,Dihuw Plaza,Cahepob,WV,10527,Laptop,YELLOW
2282,Luis,Boyd,22,Kume Trail,Lassebug,DE,14988,Laptop,WHITE
2283,Helen,Watkins,65,Joktep View,Haliptu,NM,13611,Tablet,WHITE
2284,Chester,Lee,24,Bugze Pike,Vuciptu,NM,34640,Laptop,WHITE
2285,Grace,Wright,40,Zoivi Mill,Digais,OH,50499,Tablet,BLUE
2286,Don,Copeland,41,Ogifi Key,Emfuhwam,MN,88732,Desktop,BLUE
2287,Joshua,Miles,42,Sobte Glen,Hadafadi,FL,27109,Desktop,BLUE
2288,Matilda,Walker,40,Hajib Boulevard,Ditlamco,DE,07654,Misc,RED
2289,Lester,Byrd,63,Meoso Pike,Beraer,LA,07059,Tablet,GREEN
2290,Todd,Gilbert,61,Osule Manor,Rakojme,DE,08246,Phone,GREEN
2291,Harriet,Hudson,18,Zuzozi Circle,Muzukko,ID,66665,Desktop,YELLOW
2292,Phillip,Hanson,62,Najwe Lane,Vuanil,MI,74342,Phone,YELLOW
2293,Rosalie,Douglas,36,Loer Way,Joproid,TX,13059,Phone,BLUE
2294,Annie,Thompson,56,Sovoh Grove,Ibbuen,AR,24243,Misc,RED
2295,Edith,Nunez,36,Gatat Plaza,Diclomow,OH,65159,Misc,RED
2296,Aiden,Byrd,34,Booka Mill,Juzawab,IA,30449,Laptop,BLUE
2297,Hattie,Carpenter,57,Supke Highway,Hetsuhbo,LA,64328,Laptop,RED
2298,Glen,Hunter,52,Pedur Heights,Maonize,AZ,63538,Phone,WHITE
2299,Julian,Pierce,55,Geovi Mill,Jurabna,MN,21814,Desktop,BLUE
2300,Martha,Bush,61,Nesej Center,Zenofako,SC,34793,Misc,RED
2301,Jane,Hammond,42,Tiife Extension,Zimesepi,KY,56956,Phone,YELLOW
2302,Emilie,Holt,37,Juzit Place,Kekpopvos,CO,76502,Tablet,RED
2303,Nelle,Wheeler,21,Pafpit Place,Poctapcat,CO,48798,Misc,GREEN
2304,Isabella,Williams,24,Ataba Highway,Nimgakfa,DE,41934,Laptop,WHITE
2305,Aaron,McDaniel,38,Pesfev Pass,Owochoz,SC,39275,Phone,RED
2306,Edwin,Vasquez,65,Ipehi Pass,Vauheca,UT,41401,Laptop,RED
2307,Susan,Simpson,47,Ifeja Manor,Ekonedhu,NH,66080,Misc,WHITE
2308,Benjamin,Fields,27,Juzel Pike,Asiduttuj,OK,72961,Phone,GREEN
2309,Jeffery,James,62,Ajeta River,Dekzamgum,NJ,33213,Tablet,BLUE
2310,Fannie,Bowman,63,Lece Boulevard,Rifenuz,WY,43379,Tablet,RED
2311,Douglas,Ward,52,Cigtu Street,Fefiwca,KS,23622,Tablet,WHITE
2312,Vera,Hale,31,Sejpa Boulevard,Hisidmo,KS,11150,Tablet,RED
2313,Milton,Edwards,45,Lubfe Place,Ningaze,MI,05095,Laptop,YELLOW
2314,Micheal,Reed,43,Ejira Trail,Lunedkew,AL,56509,Laptop,RED
2315,Justin,Dean,42,Fahhu Ridge,Menpopa,OR,27064,Laptop,BLUE
2316,Richard,Burke,19,Jedzub View,Tiamgos,TN,24114,Desktop,GREEN
2317,Louise,Hampton,54,Suca Pike,Pahegib,IA,34320,Misc,WHITE
2318,Joseph,Lyons,45,Wafki Heights,Cermahu,UT,68271,Desktop,WHITE
2319,Bill,Caldwell,30,Dufi Center,Gamezizog,MA,68405,Tablet,BLUE
2320,Ruth,Armstrong,23,Anog Center,Acnozvuh,FL,15498,Desktop,BLUE
2321,Della,Bass,63,Nettij Park,Jivtichil,MO,93728,Misc,WHITE
2322,Annie,Hogan,39,Sode Plaza,Lujdabzuj,AR,29984,Laptop,WHITE
2323,Jeremiah,Bishop,55,Corfuc Court,Suebfeg,WV,58557,Desktop,YELLOW
2324,Mitchell,Chandler,27,Vipup Place,Perodaso,PA,20621,Laptop,BLUE
2325,Edith,Curtis,32,Zogi Center,Zevusu,TX,50709,Misc,GREEN
2326,Johanna,Ferguson,38,Ekvig Way,Akajico,AL,99547,Phone,RED
2327,Cecilia,Ryan,50,Pewmaz Parkway,Tulvesah,SD,70036,Tablet,YELLOW
2328,Verna,Garza,20,Mimgit Path,Aririru,MN,84467,Desktop,GREEN
2329,Jerome,Guerrero,29,Ucoji Pike,Icizinom,MA,30947,Misc,WHITE
2330,Addie,Turner,64,Tecam Turnpike,Fakepihe,OK,82347,Misc,YELLOW
2331,Randy,Harper,58,Fohatu Boulevard,Matdahe,PA,37095,Tablet,YELLOW
2332,Gussie,Lucas,30,Ewewo Manor,Dokpuzno,AR,68016,Phone,GREEN
2333,Daniel,Carter,27,Evca Path,Ijajetcam,KS,00747,Phone,RED
2334,Randall,Watson,54,Fivsu Road,Kajupaw,MA,80582,Tablet,RED
2335,Shawn,Sherman,34,Lujol Court,Liscihhu,ID,68959,Laptop,YELLOW
2336,Brett,Jefferson,18,Kebub Drive,Vaibdap,ID,04714,Misc,WHITE
2337,Lee,Curtis,22,Caljod Highway,Juimwum,OH,04774,Tablet,YELLOW
2338,Cecelia,French,62,Ceju Parkway,Bebeiji,IN,11099,Laptop,YELLOW
2339,Dean,Diaz,18,Lagiz View,Fupmudbe,KS,63859,Misc,GREEN
2340,Helena,Sandoval,36,Tilef Highway,Vilabam,DE,22664,Desktop,WHITE
2341,Melvin,Copeland,41,Dulab Drive,Ijracan,MD,55935,Misc,WHITE
2342,Douglas,Young,62,Ugojec Place,Ifiapasu,FL,97907,Tablet,WHITE
2343,Francis,Peterson,62,Werti Place,Bosugele,DE,71794,Phone,GREEN
2344,Lula,Ballard,64,Sacne Terrace,Lumodfe,TX,40014,Desktop,WHITE
2345,Edgar,Mathis,55,Jejop Path,Nucumen,CT,21634,Phone,BLUE
2346,Ruby,Austin,19,Ufja Highway,Vosjeuf,MD,19909,Phone,GREEN
2347,Lena,Morrison,57,Sijek Plaza,Huwoctag,IL,23086,Phone,BLUE
2348,Susan,Wells,53,Lidok Center,Ledrizhe,KY,31692,Phone,YELLOW
2349,Mina,Robinson,55,Zothal Road,Doatapa,WI,97065,Phone,YELLOW
2350,James,Singleton,30,Amri Pass,Nupmappi,IA,52563,Misc,YELLOW
2351,Vera,Jordan,53,Jindu Avenue,Ugduwig,ID,00258,Tablet,YELLOW
2352,Brandon,Herrera,31,Abare Extension,Ihonoliz,WA,06458,Phone,BLUE
2353,John,Gibbs,25,Wannac Loop,Kaviuga,AZ,18762,Phone,WHITE
2354,Lora,Keller,28,Bosvaf Drive,Danomig,IA,44270,Misc,YELLOW
2355,Joe,Meyer,27,Befkok Pike,Wejefus,OH,17299,Desktop,BLUE
2356,Jeanette,Cannon,37,Olmet Way,Ozehuvpuw,WA,49284,Phone,WHITE
2357,Darrell,Morales,45,Fidab River,Lanehziz,AK,31604,Phone,GREEN
2358,Keith,Castro,38,Saknik Drive,Fueweh,TX,89368,Desktop,YELLOW
2359,Chris,Park,30,Roaki Park,Zoczukno,VT,02547,Tablet,GREEN
2360,Todd,Harper,62,Lasowa Path,Cownesrep,CO,48408,Phone,BLUE
2361,Thomas,Moran,60,Odier Ridge,Fezarnit,HI,53940,Misc,WHITE
2362,Howard,Simpson,62,Tuwe Path,Ehumamhu,NV,56858,Laptop,GREEN
2363,Leon,Dawson,47,Siddad Plaza,Fehduzfu,NE,68009,Tablet,YELLOW
2364,Francisco,Sanchez,35,Zamu Junction,Opajase,NJ,52369,Phone,BLUE
2365,Myra,Ruiz,28,Kamvah Trail,Zomirvul,VA,68232,Misc,WHITE
2366,Clayton,Collier,34,Vomup Trail,Gaugude,HI,47493,Desktop,RED
2367,Cole,Gregory,18,Vetat River,Vauhoza,AZ,36411,Misc,GREEN
2368,Helena,Carroll,34,Hapkaf Lane,Uvwakhe,MD,88251,Misc,RED
2369,Cordelia,Wood,45,Azulik Key,Tumujhul,TX,68619,Phone,BLUE
2370,Leila,Holmes,30,Rahed Street,Zikgakiv,DC,95589,Desktop,WHITE
2371,Shane,Sparks,23,Teob Drive,Nusobmi,TN,58177,Laptop,BLUE
2372,Vincent,Quinn,23,Zahguf Way,Nowapegeg,OK,40582,Misc,WHITE
2373,Bess,Logan,27,Ipazo Highway,Fuhavah,PA,51000,Misc,BLUE
2374,Elmer,Marsh,34,Surov Boulevard,Roegvih,PA,98772,Desktop,YELLOW
2375,Carrie,Powell,59,Esige Court,Zumendej,CT,69957,Phone,RED
2376,Etta,Thompson,23,Owfor Plaza,Cetiize,DC,85403,Desktop,BLUE
2377,Cora,Medina,29,Obba Place,Nemubvuc,SC,38367,Desktop,GREEN
2378,Bradley,Kelly,35,Pefgoh Glen,Gogufroj,WY,07299,Laptop,YELLOW
2379,Elsie,Larson,64,Cogdeg Extension,Lectohimu,KS,34194,Phone,GREEN
2380,Sam,Carlson,58,Vomaj Manor,Rurakevu,WY,23053,Tablet,GREEN
2381,Ethel,Guzman,65,Bampok Ridge,Onoseram,HI,29087,Phone,BLUE
2382,Sadie,Washington,43,Beopa Circle,Lucapiat,WV,60677,Tablet,GREEN
2383,Hulda,West,61,Etfap Center,Natlonfu,SC,68323,Phone,YELLOW
2384,Michael,Mitchell,20,Geznir Path,Wuneak,WI,49515,Tablet,GREEN
2385,Ora,Cobb,45,Zasa Turnpike,Nigpirfu,NH,86000,Misc,YELLOW
2386,Blanche,Hale,19,Enjo Plaza,Tazkuda,OR,43695,Laptop,YELLOW
2387,Isaiah,Tucker,46,Uwbe Plaza,Sucvupdag,CO,75900,Misc,GREEN
2388,Milton,McCormick,58,Lakof Heights,Pufjiezi,NM,83030,Tablet,BLUE
2389,Chris,Gilbert,33,Akgu Path,Cogupzeh,WI,28605,Phone,YELLOW
2390,Samuel,Griffin,25,Ezbus Street,Mihilaj,IL,63855,Desktop,RED
2391,Nelle,Logan,38,Epze View,Ewtiblo,MS,87339,Misc,RED
2392,Leonard,Carroll,49,Vova Circle,Desulos,TX,75476,Misc,BLUE
2393,Olga,Rhodes,20,Nepac Drive,Arcovhen,NJ,52214,Tablet,WHITE
